#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             2568.94             -0.0816                       |         1.40833762e+09     -8.16000000e-31                    
             2579.68             -1.3557                       |         1.40828760e+09     -1.35570000e-29                    
             2590.41             -1.0656                       |         1.40823762e+09     -1.06560000e-29                    
             2601.15             -4.1571                       |         1.40818761e+09     -4.15710000e-29                    
             2611.89              2.9138                       |         1.40813759e+09      2.91380000e-29                    
             2622.62              1.3311                       |         1.40808763e+09      1.33110000e-29                    
             2633.36              2.0784                       |         1.40803763e+09      2.07840000e-29                    
              2644.1             -0.9988                       |         1.40798763e+09     -9.98800000e-30                    
             2654.84             -2.1654                       |         1.40793763e+09     -2.16540000e-29                    
             2665.58              5.8503                       |         1.40788763e+09      5.85030000e-29                    
             2676.33              0.8152                       |         1.40783760e+09      8.15200000e-30                    
             2687.07              1.1281                       |         1.40778761e+09      1.12810000e-29                    
             2697.81              1.6437                       |         1.40773762e+09      1.64370000e-29                    
             2708.56              4.5875                       |         1.40768760e+09      4.58750000e-29                    
              2719.3             -2.6323                       |         1.40763762e+09     -2.63230000e-29                    
             2730.05              2.7965                       |         1.40758760e+09      2.79650000e-29                    
             2740.79             -5.5424                       |         1.40753763e+09     -5.54240000e-29                    
             2751.54             -3.5167                       |         1.40748762e+09     -3.51670000e-29                    
             2762.29              -1.008                       |         1.40743761e+09     -1.00800000e-29                    
             2773.04             -0.1579                       |         1.40738760e+09     -1.57900000e-30                    
             2783.79              -2.217                       |         1.40733760e+09     -2.21700000e-29                    
             2794.54             -3.6233                       |         1.40728760e+09     -3.62330000e-29                    
             2805.29             -4.5323                       |         1.40723761e+09     -4.53230000e-29                    
             2816.04              0.4005                       |         1.40718762e+09      4.00500000e-30                    
             2826.79              4.4285                       |         1.40713763e+09      4.42850000e-29                    
             2837.55             -2.7969                       |         1.40708760e+09     -2.79690000e-29                    
              2848.3              1.9063                       |         1.40703762e+09      1.90630000e-29                    
             2859.06              3.0538                       |         1.40698759e+09      3.05380000e-29                    
             2869.81               3.338                       |         1.40693762e+09      3.33800000e-29                    
             2880.57              1.9062                       |         1.40688760e+09      1.90620000e-29                    
             2891.33              0.8048                       |         1.40683759e+09      8.04800000e-30                    
             2902.08             -0.4473                       |         1.40678763e+09     -4.47300000e-30                    
             2912.84              0.3448                       |         1.40673762e+09      3.44800000e-30                    
              2923.6             -0.4745                       |         1.40668762e+09     -4.74500000e-30                    
             2934.36             -2.3219                       |         1.40663762e+09     -2.32190000e-29                    
             2945.12              6.1706                       |         1.40658763e+09      6.17060000e-29                    
             2955.88              0.2485                       |         1.40653763e+09      2.48500000e-30                    
             2966.65             -3.9869                       |         1.40648760e+09     -3.98690000e-29                    
             2977.41              1.3712                       |         1.40643762e+09      1.37120000e-29                    
             2988.17             -3.0431                       |         1.40638763e+09     -3.04310000e-29                    
             2998.94               0.063                       |         1.40633761e+09      6.30000000e-31                    
              3009.7              0.7594                       |         1.40628764e+09      7.59400000e-30                    
             3020.47              0.3064                       |         1.40623762e+09      3.06400000e-30                    
             3031.24             -6.7884                       |         1.40618761e+09     -6.78840000e-29                    
             3042.01             -4.9664                       |         1.40613760e+09     -4.96640000e-29                    
             3052.77             -2.6369                       |         1.40608764e+09     -2.63690000e-29                    
             3063.54              1.7662                       |         1.40603763e+09      1.76620000e-29                    
             3074.31              3.4942                       |         1.40598764e+09      3.49420000e-29                    
             3085.09              4.4806                       |         1.40593759e+09      4.48060000e-29                    
             3095.86             -1.0788                       |         1.40588760e+09     -1.07880000e-29                    
             3106.63              6.6045                       |         1.40583761e+09      6.60450000e-29                    
              3117.4              7.6862                       |         1.40578763e+09      7.68620000e-29                    
             3128.18              9.8899                       |         1.40573760e+09      9.88990000e-29                    
             3138.95              7.8359                       |         1.40568762e+09      7.83590000e-29                    
             3149.73              1.4546                       |         1.40563760e+09      1.45460000e-29                    
              3160.5              3.9764                       |         1.40558763e+09      3.97640000e-29                    
             3171.28             -3.5441                       |         1.40553762e+09     -3.54410000e-29                    
             3182.06              3.0517                       |         1.40548761e+09      3.05170000e-29                    
             3192.84             14.3468                       |         1.40543760e+09      1.43468000e-28                    
             3203.62             -3.2679                       |         1.40538760e+09     -3.26790000e-29                    
              3214.4             -2.7352                       |         1.40533760e+09     -2.73520000e-29                    
             3225.18              8.4748                       |         1.40528761e+09      8.47480000e-29                    
             3235.96              9.3114                       |         1.40523761e+09      9.31140000e-29                    
             3246.74              6.6294                       |         1.40518763e+09      6.62940000e-29                    
             3257.53              5.8827                       |         1.40513759e+09      5.88270000e-29                    
             3268.31             -1.2681                       |         1.40508761e+09     -1.26810000e-29                    
             3279.09             12.3671                       |         1.40503764e+09      1.23671000e-28                    
             3289.88              6.4304                       |         1.40498761e+09      6.43040000e-29                    
             3300.67              5.7095                       |         1.40493760e+09      5.70950000e-29                    
             3311.45              9.9147                       |         1.40488763e+09      9.91470000e-29                    
             3322.24              7.0318                       |         1.40483762e+09      7.03180000e-29                    
             3333.03              10.157                       |         1.40478761e+09      1.01570000e-28                    
             3343.82             -0.1467                       |         1.40473761e+09     -1.46700000e-30                    
             3354.61             10.2424                       |         1.40468761e+09      1.02424000e-28                    
              3365.4              8.2784                       |         1.40463762e+09      8.27840000e-29                    
             3376.19             -0.8297                       |         1.40458762e+09     -8.29700000e-30                    
             3386.98              2.1315                       |         1.40453764e+09      2.13150000e-29                    
             3397.78              3.7828                       |         1.40448760e+09      3.78280000e-29                    
             3408.57              8.2907                       |         1.40443762e+09      8.29070000e-29                    
             3419.37              3.6112                       |         1.40438760e+09      3.61120000e-29                    
             3430.16              4.2392                       |         1.40433762e+09      4.23920000e-29                    
             3440.96             -0.6352                       |         1.40428761e+09     -6.35200000e-30                    
             3451.76             -2.3689                       |         1.40423759e+09     -2.36890000e-29                    
             3462.55              6.9223                       |         1.40418763e+09      6.92230000e-29                    
             3473.35             -5.5325                       |         1.40413762e+09     -5.53250000e-29                    
             3484.15              6.3064                       |         1.40408762e+09      6.30640000e-29                    
             3494.95              8.2888                       |         1.40403762e+09      8.28880000e-29                    
             3505.75              -1.544                       |         1.40398763e+09     -1.54400000e-29                    
             3516.55             -0.5428                       |         1.40393763e+09     -5.42800000e-30                    
             3527.36              0.2364                       |         1.40388760e+09      2.36400000e-30                    
             3538.16             -2.6903                       |         1.40383761e+09     -2.69030000e-29                    
             3548.96              2.2909                       |         1.40378763e+09      2.29090000e-29                    
             3559.77              0.5317                       |         1.40373761e+09      5.31700000e-30                    
             3570.57             -1.0139                       |         1.40368763e+09     -1.01390000e-29                    
             3581.38             -1.9337                       |         1.40363762e+09     -1.93370000e-29                    
             3592.19             -1.1101                       |         1.40358760e+09     -1.11010000e-29                    
                3603             -0.4449                       |         1.40353759e+09     -4.44900000e-30                    
              3613.8             -0.4526                       |         1.40348763e+09     -4.52600000e-30                    
             3624.61             -0.5158                       |         1.40343763e+09     -5.15800000e-30                    
             3635.42              0.3298                       |         1.40338763e+09      3.29800000e-30                    
             3646.23               1.113                       |         1.40333764e+09      1.11300000e-29                    
             3657.05             -0.1716                       |         1.40328760e+09     -1.71600000e-30                    
             3667.86             -1.6739                       |         1.40323761e+09     -1.67390000e-29                    
             3678.67             -0.4881                       |         1.40318762e+09     -4.88100000e-30                    
             3689.49              1.6567                       |         1.40313760e+09      1.65670000e-29                    
              3700.3              1.0993                       |         1.40308762e+09      1.09930000e-29                    
             3711.12             -3.7233                       |         1.40303760e+09     -3.72330000e-29                    
             3721.93              1.7643                       |         1.40298763e+09      1.76430000e-29                    
             3732.75             -3.2778                       |         1.40293761e+09     -3.27780000e-29                    
             3743.57              2.7186                       |         1.40288760e+09      2.71860000e-29                    
             3754.39              3.9703                       |         1.40283760e+09      3.97030000e-29                    
             3765.21             -2.6701                       |         1.40278760e+09     -2.67010000e-29                    
             3776.03             -2.0766                       |         1.40273760e+09     -2.07660000e-29                    
             3786.85              7.3295                       |         1.40268760e+09      7.32950000e-29                    
             3797.67             -1.1416                       |         1.40263761e+09     -1.14160000e-29                    
             3808.49             -4.5643                       |         1.40258762e+09     -4.56430000e-29                    
             3819.31              -0.475                       |         1.40253764e+09     -4.75000000e-30                    
             3830.14              1.2738                       |         1.40248761e+09      1.27380000e-29                    
             3840.96              0.9197                       |         1.40243763e+09      9.19700000e-30                    
             3851.79             -0.1641                       |         1.40238761e+09     -1.64100000e-30                    
             3862.62             -1.5393                       |         1.40233759e+09     -1.53930000e-29                    
             3873.44              1.0062                       |         1.40228763e+09      1.00620000e-29                    
